Common Name	C-value	Order	
Japanese wild mouse	3.08	Rodentia	
Eastern European house mouse	3.28	Rodentia	
Tobacco mouse	3.22	Rodentia	
Tobacco mouse	3.97	Rodentia	
Mound-building mouse. Steppe mouse	3.07	Rodentia	
Algerian mouse	3.68	Rodentia	
Narrow-footed bristly mouse	3.28	Rodentia	
Pack rat	3.82	Rodentia	
Unicolored arboreal rice rat	3.06	Rodentia	
Pygmy rice rat	2.80	Rodentia	
Muskrat	2.78	Rodentia	
Tomes's rice rat	3.78	Rodentia	
Talamancan rice rat	3.41	Rodentia	
Burrowing mouse	2.67	Rodentia	
Deer mouse	3.24	Rodentia	
Deer mouse	3.30	Rodentia	
Deer mouse	4.36	Rodentia	
Deer mouse	3.57	Rodentia	
Kage vole	3.62	Rodentia	
Leaf-eared mouse	2.84	Rodentia	
Leaf-eared mouse	2.98	Rodentia	
Leaf-eared mouse	4.17	Rodentia	
Leaf-eared mouse	3.90	Rodentia	
Leaf-eared mouse	3.54	Rodentia	
Brown rat	2.98	Rodentia	
Brown rat	3.05	Rodentia	
Brown rat	3.14	Rodentia	
Brown rat	3.27	Rodentia	
Brown rat	3.36	Rodentia	
Brown rat	3.82	Rodentia	
Brown rat	3.90	Rodentia	
Black rat	2.63	Rodentia	
Black rat	3.03	Rodentia	
Black rat	3.03	Rodentia	
Black rat	3.14	Rodentia	
Black rat	3.48	Rodentia	
Venezuelan climbing mouse	3.69	Rodentia	
Water rat	2.81	Rodentia	
Cotton rat	3.96	Rodentia	
Short-tailed cane mouse	3.81	Rodentia	
Nutria. coypu	3.60	Rodentia	
Viscacha rat	3.75	Rodentia	
Viscacha rat	3.70	Rodentia	
Viscacha rat	3.70	Rodentia	
Viscacha rat	3.85	Rodentia	
Degu	4.30	Rodentia	
Degu	4.32	Rodentia	
Viscacha rat	4.40	Rodentia	
Chozchoz	4.10	Rodentia	
Viscacha rat	3.80	Rodentia	
Viscacha rat	4.00	Rodentia	
Coruro	3.54	Rodentia	
Coruro	4.20	Rodentia	
Red viscacha rat	8.40	Rodentia	
Giant flying squirrel	4.02	Rodentia	
Gray squirrel	4.46	Rodentia	
Gray squirrel	5.18	Rodentia	
Japanese squirrel	3.02	Rodentia	
Common tree shrew	3.37	Scandentia	
Common tree shrew	3.73	Scandentia	
Florida manatee	3.67	Sirenia	
Florida manatee	4.67	Sirenia	
Aardvark	4.59	Tubilidentata	
Aardvark	5.86	Tubilidentata	
Aardvark	5.87	Tubilidentata	
Brown-throated three-toed sloth	4.23	Xenartha	
Northern naked-tailed armadillo	3.98	Xenartha	
Screaming hairy armadillo	4.46	Xenartha	
Large hairy armadillo	4.18	Xenartha	
Southern long-nosed armadillo	4.89	Xenartha	
Great long-nosed armadillo	4.92	Xenartha	
Nine-banded armadillo	5.41	Xenartha	
Hairy long-nosed armadillo	4.32	Xenartha	
Llanos long-nosed armadillo	5.76	Xenartha	
Seven-banded armadillo	5.17	Xenartha	
Six-banded armadillo	4.16	Xenartha	
Giant armadillo	4.47	Xenartha	
Pichi. Dwarf armadillo	4.21	Xenartha	
Giant anteater	4.49	Xenartha	
Southern tamandua	4.11	Xenartha	
Giant anteater	4.15	Xenarthra	
